Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C301, C307, C308",C_0402,4,CC0402KRX5R8BB105,
"C202, C203, C204",EMZR250ARA471MHA0G,3,EMZR250ARA471MHA0G,
"C205, C209, C311, C312",C_0603,4,CC0603KRX5R8BB106,
"C206, C208, C210, C212, C302, C304, C309, C310, C402, C404, C502, C504, C602, C604, C702, C704, C802, C804, C902, C904",C_0402,20,CC0402KRX7R8BB104,
C207,C_0402,1,CC0402FRNPO9BN220,
"C211, C303",C_0603,2,CC0603MRX5R6BB226,
"C305, C306",C_0402,2,CC0402FRNPO9BN150,
"C401, C501, C601, C701, C801, C901",GRM32ER71A476KE15L,6,GRM32ER71A476KE15L,
"C403, C503, C603, C703, C803, C903",UCL1E101MCL1GS,6,UCL1E101MCL1GS,
"D201, D202, D203",LESD5D5.0CT1G,3,LESD5D5.0CT1G,
D204,SS34,1,SS34,
"D401, D501, D601, D701, D801, D901",SMBJ5.0A,6,SMBJ5.0A,
"D402, D502, D602, D702, D802, D902",SMBJ13A,6,SMBJ13A,
J201,USB4120,1,USB4120,
"J202, J203",350211-1,2,350211-1,
J301,5034802000,1,5034802000,
"J302, J303",470531000,2,470531000,
"J401, J501, J601, J701, J801, J901",SATA-501-M07S1BY-A,6,SATA-501-M07S1BY-A,
"J402, J502, J602, J702, J802, J902",XUTS-2218-0127,6,XUTS-2218-0127,
JP301,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
L201,SRN4018BTA-2R2M,1,SRN4018BTA-2R2M,
Q201,AO3401A,1,AO3401A,
"R201, R202",R_0402,2,RC0402FR-0733RL,
"R203, R204",R_0402,2,RC0402FR-075K1L,
"R205, R303, R304, R305, R306",R_0402,5,RC0402FR-0710KL,
"R206, R208",R_0402,2,RC0402FR-07100KL,
R207,R_0402,1,RC0402FR-0722R1L,
"R301, R302",R_0402,2,RC0402FR-072K2L,
SW301,5-1437565-0,1,5-1437565-0,
"TP301, TP302",TestPoint_Pad_D1.5mm,2,TestPoint,
U201,SY8088AAC,1,SY8088AAC,
U202,CN809M,1,CN809M,
U301,TCA9554PWR,1,TCA9554PWR,
U302,ESP32-C5-WROOM-1,1,ESP32-C5-WROOM-1-N8R8,
X301,Q13FC13500004,1,Q13FC13500004,
