Designator,Mid X,Mid Y,Rotation,Layer
C201,60.45,86.01,270.0,bottom
C202,155.5,93.6,180.0,bottom
C203,166.5,93.6,180.0,bottom
C204,177.5,93.6,0.0,bottom
C205,48.55,90.3,0.0,bottom
C206,48.45,89.1,0.0,bottom
C207,50.3,85.65,0.0,bottom
C208,43.55,84.95,180.0,bottom
C209,43.15,86.1,180.0,bottom
C210,57.7,89.05,180.0,bottom
C211,57.8,90.2,180.0,bottom
C212,62.35,83.05,90.0,bottom
C301,27.75,80.2,270.0,bottom
C302,26.75,80.2,270.0,bottom
C303,33.75,105.5,90.0,bottom
C304,32.6,105.5,90.0,bottom
C305,33.225,100.4,90.0,bottom
C306,33.225,98.15,270.0,bottom
C307,35.9,104.25,90.0,bottom
C308,10.0,90.8,270.0,bottom
C309,9.0,90.8,270.0,bottom
C310,36.9,104.25,90.0,bottom
C311,79.1,110.3,0.0,bottom
C312,79.1,91.3,0.0,bottom
C401,4.35,31.15,90.0,bottom
C402,3.65,27.2,270.0,bottom
C403,7.8,22.45,0.0,bottom
C404,11.55,17.3,180.0,bottom
C501,36.1,31.15,90.0,bottom
C502,35.4,27.2,270.0,bottom
C503,39.55,22.45,0.0,bottom
C504,43.3,17.3,180.0,bottom
C601,67.85,31.15,90.0,bottom
C602,67.15,27.2,270.0,bottom
C603,71.3,22.45,0.0,bottom
C604,75.05,17.3,180.0,bottom
C701,99.6,31.15,90.0,bottom
C702,98.9,27.2,270.0,bottom
C703,103.05,22.45,0.0,bottom
C704,106.8,17.3,180.0,bottom
C801,131.35,31.15,90.0,bottom
C802,130.65,27.2,270.0,bottom
C803,134.8,22.45,0.0,bottom
C804,138.55,17.3,180.0,bottom
C901,163.1,31.15,90.0,bottom
C902,162.4,27.2,270.0,bottom
C903,166.55,22.45,0.0,bottom
C904,170.3,17.3,180.0,bottom
D201,62.0,85.95,270.0,bottom
D202,55.6,99.6,90.0,bottom
D203,55.6,96.8,270.0,bottom
D204,54.25,86.25,270.0,bottom
D401,5.05,38.1,270.0,bottom
D402,7.0,10.7,0.0,bottom
D501,36.8,38.1,270.0,bottom
D502,38.75,10.7,0.0,bottom
D601,68.55,38.1,270.0,bottom
D602,70.5,10.7,0.0,bottom
D701,100.3,38.1,270.0,bottom
D702,102.25,10.7,0.0,bottom
D801,132.05,38.1,270.0,bottom
D802,134.0,10.7,0.0,bottom
D901,163.8,38.1,270.0,bottom
D902,165.75,10.7,0.0,bottom
J201,61.5,95.4,0.0,bottom
J202,166.62,105.1,0.0,bottom
J203,166.62,83.15,0.0,bottom
J301,6.0,95.55,90.0,bottom
J302,81.11,104.8375,0.0,bottom
J303,81.11,93.9875,0.0,bottom
J401,114.955,106.565,0.0,bottom
J402,7.95,35.7,90.0,top
J501,114.955,95.115,0.0,bottom
J502,39.7,35.7,90.0,top
J601,114.955,83.665,0.0,bottom
J602,71.45,35.7,90.0,top
J701,135.955,106.565,0.0,bottom
J702,103.2,35.7,90.0,top
J801,135.955,95.115,0.0,bottom
J802,134.95,35.7,90.0,top
J901,135.955,83.665,0.0,bottom
J902,166.7,35.7,90.0,top
L201,41.75,89.5,0.0,bottom
Q201,58.05,86.55,180.0,bottom
R201,53.75,98.9,0.0,bottom
R202,53.75,97.45,0.0,bottom
R203,61.3,91.7,180.0,bottom
R204,62.75,99.1,180.0,bottom
R205,48.95,91.45,0.0,bottom
R206,50.3,84.0,0.0,bottom
R207,48.4,84.0,0.0,bottom
R208,57.55,83.0,270.0,bottom
R301,33.65,94.3,90.0,bottom
R302,32.6,93.05,90.0,bottom
R303,34.9,104.25,270.0,bottom
R304,51.0,103.05,270.0,bottom
R305,51.0,100.55,90.0,bottom
R306,26.75,83.2,270.0,bottom
SW301,43.5,106.0,270.0,bottom
U201,46.7,86.55,180.0,bottom
U202,59.95,82.55,180.0,bottom
U301,22.1,83.0,180.0,bottom
U302,22.1,100.5,0.0,bottom
X301,35.15,99.3,270.0,bottom
